Name,Number
Luna,3343
Simba,2637
Milo,2397
Coco,2371
Charlie,2111
Bella,2071
Jasper,1939
Gizmo,1918
George,1897
Loki,1885
Shadow,1868
Casper,1865
Nala,1850
Leo,1845
Cookie,1795
Bob,1789
Bailey,1776
Kitty,1748
Boo,1746
Buddy,1731
Jack,1728
Fluffy,1717
Rocky,1711
Willow,1710
Felix,1697
Chester,1695
Smokey,1693
Bear,1692
Salem,1668
Angel,1665
